postal_code,Judet,localitate,Tip Artera,Denumire,Zona de livrare,Livrare sambata
10206,Bucuresti,Bucuresti,Strada,Slavici Ion nr. 1-T,0,DA
10207,Bucuresti,Bucuresti,Strada,Slavici Ion nr. 2-T,0,DA
10208,Bucuresti,Bucuresti,Strada,Perlea Ionel nr. 1-T,0,DA
10209,Bucuresti,Bucuresti,Strada,Perlea Ionel nr. 2-T,0,DA
10211,Bucuresti,Bucuresti,Strada,Pompiliu Eliade nr. 1-T,0,DA
10212,Bucuresti,Bucuresti,Strada,Pompiliu Eliade nr. 2-T,0,DA
10213,Bucuresti,Bucuresti,Intrare,Aurora,0,DA
10214,Bucuresti,Bucuresti,Strada,Bibicescu  G.Ioan,0,DA
10215,Bucuresti,Bucuresti,Strada,Burada Theodor,0,DA
10216,Bucuresti,Bucuresti,Strada,Pârvan Vasile,0,DA
10217,Bucuresti,Bucuresti,Strada,Sfântul Constantin nr. 1-T,0,DA
10218,Bucuresti,Bucuresti,Strada,Sfântul Constantin nr. 2-8,0,DA
10219,Bucuresti,Bucuresti,Strada,Sfântul Constantin nr. 10-T,0,DA
10221,Bucuresti,Bucuresti,Cale,Plevnei nr. 7-31,0,DA
10222,Bucuresti,Bucuresti,Cale,Plevnei nr. 33-51,0,DA
10223,Bucuresti,Bucuresti,Cale,Plevnei nr. 53-63,0,DA
10224,Bucuresti,Bucuresti,Cale,Plevnei nr. 65-125,0,DA
10225,Bucuresti,Bucuresti,Cale,Plevnei nr. 127-135,0,DA
10231,Bucuresti,Bucuresti,Cale,Plevnei nr. 12-16,0,DA
10232,Bucuresti,Bucuresti,Cale,Plevnei nr. 18-36,0,DA
10233,Bucuresti,Bucuresti,Cale,Plevnei nr. 38-48,0,DA
10234,Bucuresti,Bucuresti,Cale,Plevnei nr. 50-60,0,DA
10235,Bucuresti,Bucuresti,Cale,Plevnei nr. 62-86,0,DA
10236,Bucuresti,Bucuresti,Cale,Plevnei nr. 88-94,0,DA
10237,Bucuresti,Bucuresti,Cale,Plevnei nr. 96-100,0,DA
10238,Bucuresti,Bucuresti,Cale,Plevnei nr. 102-118,0,DA
10241,Bucuresti,Bucuresti,Cale,Plevnei nr. 120-132,0,DA
10242,Bucuresti,Bucuresti,Cale,Plevnei nr. 134-136,0,DA
10243,Bucuresti,Bucuresti,Cale,Plevnei nr. 138-144,0,DA
10251,Bucuresti,Bucuresti,Strada,Berzei nr. 1-39,0,DA
10252,Bucuresti,Bucuresti,Strada,Berzei nr. 41-77,0,DA
10253,Bucuresti,Bucuresti,Strada,Berzei nr. 79-83,0,DA
10254,Bucuresti,Bucuresti,Strada,Berzei nr. 85-T,0,DA
10255,Bucuresti,Bucuresti,Strada,Berzei nr. 2,0,DA
10256,Bucuresti,Bucuresti,Strada,Berzei nr. 4-16,0,DA
10257,Bucuresti,Bucuresti,Strada,Berzei nr. 18-34,0,DA
10258,Bucuresti,Bucuresti,Intrare,Ezareni,0,DA
10259,Bucuresti,Bucuresti,Piata,Cioran Emil,0,DA
10261,Bucuresti,Bucuresti,Strada,Berzei nr. 36-48,0,DA
10262,Bucuresti,Bucuresti,Strada,Berzei nr. 50-60,0,DA
10263,Bucuresti,Bucuresti,Strada,Berzei nr. 62-T,0,DA
10271,Bucuresti,Bucuresti,Splai,Independentei nr. 96-198,0,DA
10281,Bucuresti,Bucuresti,Strada,Rosetti C.A. nr. 1-13,0,DA
10282,Bucuresti,Bucuresti,Strada,Rosetti C.A. nr. 15,0,DA
10283,Bucuresti,Bucuresti,Strada,Rosetti C.A. nr. 2-12,0,DA
10284,Bucuresti,Bucuresti,Strada,Rosetti C.A. nr. 14-18,0,DA
10285,Bucuresti,Bucuresti,Strada,Golescu Nicolae nr. 1-T,0,DA
10286,Bucuresti,Bucuresti,Strada,Golescu Nicolae nr. 2-T,0,DA
10287,Bucuresti,Bucuresti,Strada,Franklin Benjamin nr. 1-T,0,DA
10288,Bucuresti,Bucuresti,Strada,Franklin Benjamin nr. 2-T,0,DA
